feature_name,importance_x,importance_y,importance_x,importance_y,importance
样本id_difference,944.0050327517092,944.4832606371492,987.1195984259248,944.224754082039,947.857402282767
A1_difference,0.9882719982415438,0.8480521980673075,0.552265701815486,0.7575650997459888,1.394330119714141
A2_difference,21.980550210922956,15.6278738072142,20.601928383111954,20.575691893696785,21.944652778096497
A3_difference,32.35339730978012,36.828046650625765,34.309454603120685,32.493009220808744,36.07131612859666
A4_difference,2.3669609976932406,4.348562866449356,3.7135382927954197,2.721376493573189,3.2262113112956285
A5_difference,178.7269193045795,184.1988036883995,175.98725630808622,176.82958057243377,175.42940151505172
A6_difference,231.59236504603177,236.25012280326337,234.05926429200917,236.30327656585723,231.64967744704336
A7_difference,176.86078305914998,188.8062463765964,189.1059706201777,173.84811467211694,179.35121734440327
A8_difference,26.904693965800107,31.27833642344922,27.163810248486698,25.827066366560757,29.80048793181777
A9_difference,312.91843815986067,317.8225444126874,290.4160679606721,300.71909291576594,309.39321827702224
A10_difference,460.72146099153906,451.92500167619437,459.5285766823217,453.4130486147478,455.5975357890129
A11_difference,238.43630652409047,254.13658323138952,243.0859115095809,231.60816532187164,241.73580189421773
A12_difference,55.42366101965308,54.39002142846584,55.58008432853967,56.49176356755197,54.493518189527094
A13_difference,3.1379863349720836,3.2386450078338385,3.9108821395784616,4.582420079037547,2.5760085210204124
A14_difference,101.63400426506996,91.50314684491605,101.09499683137983,107.37569371517748,94.60577955842018
A15_difference,59.349222666583955,59.928711611777544,67.31994632259011,64.70528413075954,63.30382233764976
A16_difference,90.9305502390489,82.97983652167022,83.09297358430922,85.06455083750188,80.054538147524
A17_difference,129.08430791832507,130.1555206431076,126.92872774787247,127.73641107603908,124.84824483375996
A18_difference,0.41815489903092384,0.568994197063148,0.5246569998562336,0.9677815232425928,0.4149136934429407
A19_difference,73.48762043938041,77.98157796263695,84.63215075992048,76.92905332148075,80.37128601968288
A20_difference,74.19883881416172,70.31205439101905,66.9472322454676,67.52870232053101,65.80731615796685
A21_difference,179.60993143171072,177.66518072690815,186.3506955690682,176.1576177496463,183.57980283349752
A22_difference,142.3992514014244,146.8818835541606,148.46516756433994,152.06794901750982,145.62613837327808
A23_difference,8.03632631059736,8.098467467352748,6.59625294432044,6.3396020764485,7.835552859120071
A24_difference,87.39194711390883,82.0356813725084,74.74874824658036,81.12457602098584,78.9028670238331
A25_difference,593.5483124172315,579.3415560740978,567.0050913160667,578.8464605696499,577.40469760634
A26_difference,34.9686220549047,34.052922166883945,34.241308061406016,35.1871287683025,34.884867313317955
A27_difference,229.66790460143238,247.89090241864324,240.52466023899615,242.13034560345113,262.1185884401202
A28_difference,80.21119175851345,73.46354329679161,78.83961155731231,74.8101598303765,79.41228721942753
B1_difference,211.18134570587426,236.41962568089366,225.00688401143998,223.66589904297143,230.24001389555633
B2_difference,254.18620863370597,235.09270469192415,244.87604141514748,238.24416342377663,239.00130479503423
B3_difference,2.68741387501359,1.8730470472946763,2.1204445846378803,2.220500687137246,2.4303318122401834
